Scenario,NOISE_MULTIPLIER,CLIPPING_NORM,Final_Accuracy
Two_Attackers_NonIID,0.1,50.0,0.41155306815910453
Two_Attackers_NonIID,0.1,5.0,0.4481311213272037
Two_Attackers_NonIID,1.0,50.0,0.4207475514691185
Two_Attackers_NonIID,0.5,5.0,0.4841095342794323
Two_Attackers_NonIID,2.0,50.0,0.43094143513891664
Two_Attackers_NonIID,2.0,10.0,0.39016590045972416
Two_Attackers_NonIID,0.1,20.0,0.41255246851888866
Two_Attackers_NonIID,0.1,10.0,0.42854287427543475
Two_Attackers_NonIID,1.0,5.0,0.46052368578852687
Two_Attackers_NonIID,2.0,5.0,0.4369378372976214
